Index, Title, Author, ISBN, Language, Pages, Published, Genre, Rating, Score, Vote, Link, Author_Link, Image, Image_Small, Description 
42, All the Single Ladies (Lowcountry Tales #10), Dorothea Benton Frank,9.78006E+12, English,357," June 2, 2015"," Fiction, Chick Lit, Romance, Womens Fiction, Audiobook, Southern, Contemporary", 3.63 avg rating - 10.470 ratings,592,6, https://www.goodreads.com/book/show/23215447-all-the-single-ladies, https://www.goodreads.com/author/show/36935.Dorothea_Benton_Frank, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432527020i/23215447.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432527020i/23215447._SY75_.jpg," The perennial New York Times bestselling author returns with an emotionally resonant novel that illuminates the power of friendship in women’s lives, and is filled with her trademark wit, poignant and timely themes, sassy, flesh-and-blood characters, and the steamy Southern atmosphere and beauty of her beloved Carolina Lowcountry. Few writers capture the complexities, pain, and joy of relationships—between friends, family members, husbands and wives, or lovers—as beloved New York Times bestselling author Dorothea Benton Frank. In this charming, evocative, soul-touching novel, she once again takes us deep into the heart of the magical Lowcountry where three amazing middle-aged women are bonded by another amazing woman’s death. Through their shared loss they forge a deep friendship, asking critical questions. Who was their friend and what did her life mean? Are they living the lives they imagined for themselves? Will they ever be able to afford to retire? How will they maximize their happiness? Security? Health? And ultimately, their own legacies?A plan is conceived and unfurls with each turn of the tide during one sweltering summer on the Isle of Palms. Without ever fully realizing how close they were to the edge, they finally triumph amid laughter and maybe even newfound love. "
43, Red Queen (Red Queen #1), Victoria Aveyard,9.78141E+12, English,383," February 10, 2015"," Fantasy, Young Adult, Dystopia, Romance, Fiction, Young Adult Fantasy, Magic", 4.02 avg rating - 901.064 ratings,575,6, https://www.goodreads.com/book/show/17878931-red-queen, https://www.goodreads.com/author/show/7074943.Victoria_Aveyard, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411472322i/17878931.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411472322i/17878931._SY75_.jpg," This is a world divided by blood - red or silver. The Reds are commoners, ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow, a seventeen-year-old Red girl from the poverty-stricken Stilts, it seems like nothing will ever change. That is, until she finds herself working in the Silver Palace. Here, surrounded by the people she hates the most, Mare discovers that, despite her red blood, she possesses a deadly power of her own. One that threatens to destroy the balance of power. Fearful of Mare's potential, the Silvers hide her in plain view, declaring her a long-lost Silver princess, now engaged to a Silver prince. Despite knowing that one misstep would mean her death, Mare works silently to help the Red Guard, a militant resistance group, and bring down the Silver regime. But this is a world of betrayal and lies, and Mare has entered a dangerous dance - Reds against Silvers, prince against prince, and Mare against her own heart. . . "
44, Fallen (Fallen #1), Lauren Kate,9.78039E+12, English,452," December 8, 2009"," Young Adult, Fantasy, Romance, Paranormal, Angels, Paranormal Romance, Fiction", 3.72 avg rating - 565.581 ratings,572,6, https://www.goodreads.com/book/show/6487308-fallen, https://www.goodreads.com/author/show/2905297.Lauren_Kate, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308._SY75_.jpg," There’s something achingly familiar about Daniel Grigori. Mysterious and aloof, he captures Luce Price’s attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He’s the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move. Even though Daniel wants nothing to do with Luce—and goes out of his way to make that very clear—she can’t let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret… even if it kills her. "
45, Defending Jacob, William Landay,9.78039E+12, English,421," January 31, 2012"," Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook", 3.99 avg rating - 289.668 ratings,571,6, https://www.goodreads.com/book/show/11367726-defending-jacob, https://www.goodreads.com/author/show/218843.William_Landay, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329612158i/11367726.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329612158i/11367726._SY75_.jpg," Award-winning author William Landay has written the consummate novel of an embattled family in crisis - a suspenseful, character-driven mystery that is also a spellbinding tale of guilt, betrayal, and the terrifying speed at which our lives can spin out of control. Andy Barber has been an assistant district attorney in his suburban Massachusetts county for more than twenty years. He is respected in his community, tenacious in the courtroom, and happy at home with his wife, Laurie, and son, Jacob. But when a shocking crime shatters their New England town, Andy is blindsided by what happens next: His fourteen-year-old son is charged with the murder of a fellow student. "
46, In the Unlikely Event, Judy Blume,9.7811E+12, English,402," June 2, 2015"," Fiction, Historical Fiction, Audiobook, Adult Fiction, Adult, Historical, Coming Of Age", 3.55 avg rating - 65.731 ratings,566,6, https://www.goodreads.com/book/show/23899174-in-the-unlikely-event, https://www.goodreads.com/author/show/12942.Judy_Blume, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421711380i/23899174.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421711380i/23899174._SX50_.jpg," In her highly anticipated new novel, Judy Blume, the New York Times # 1 best-selling author of Summer Sisters and of young adult classics such as Are You There God? It’s Me, Margaret, creates a richly textured and moving story of three generations of families, friends and strangers, whose lives are profoundly changed by unexpected events. In 1987, Miri Ammerman returns to her hometown of Elizabeth, New Jersey, to attend a commemoration of the worst year of her life. Thirty-five years earlier, when Miri was fifteen, and in love for the first time, a succession of airplanes fell from the sky, leaving a community reeling. Against this backdrop of actual events that Blume experienced in the early 1950s, when airline travel was new and exciting and everyone dreamed of going somewhere, Judy Blume imagines and weaves together a haunting story of three generations of families, friends, and strangers, whose lives are profoundly changed by these disasters. She paints a vivid portrait of a particular time and place — Nat King Cole singing “Unforgettable,” Elizabeth Taylor haircuts, young (and not-so-young) love, explosive friendships, A-bomb hysteria, rumors of Communist threat. And a young journalist who makes his name reporting tragedy. Through it all, one generation reminds another that life goes on. In the Unlikely Event is a gripping novel with all the hallmarks of Judy Blume's unparalleled storytelling. "
47, Obsession in Death (In Death #40), J.D. Robb,9.7804E+12, English,404," January 12, 2015"," Mystery, Romance, Fiction, Crime, Romantic Suspense, Futuristic, Suspense", 4.36 avg rating - 23.110 ratings,496,5, https://www.goodreads.com/book/show/22571696-obsession-in-death, https://www.goodreads.com/author/show/17065.J_D_Robb, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406509523i/22571696.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406509523i/22571696._SY75_.jpg," There's a thin line between hero worship and dangerous obsession. . . the explosive new Eve Dallas and Roarke thrillerA crisp winter morning in New York. In a luxury apartment, the body of a woman lies stretched out on a huge bed. On the wall above, the killer has left a message in bold black ink: FOR LIEUTENANT EVE DALLAS, WITH GREAT ADMIRATION AND UNDERSTANDING. Eve Dallas is used to unwanted attention. Famous for her high-profile cases and her marriage to billionaire businessman Roarke, she has learned to deal with intense public scrutiny and media gossip. But now Eve has become the object of a singular and deadly obsession. She has an 'admirer', who just can't stop thinking about her. Who is convinced they have a special bond. Who is planning to kill for her - again and again. . . With time against her, Eve is forced to play a delicate - and dangerous - psychological dance. Because the killer is desperate for something Eve can never provide - approval. And once that becomes clear, Eve knows her own life will be at risk - along with those she cares about the most. "
48, Saint Odd (Odd Thomas #7), Dean Koontz, null, English,352," January 1, 2014"," Horror, Fiction, Fantasy, Thriller, Mystery, Paranormal, Supernatural", 4.18 avg rating - 20.714 ratings,486,5, https://www.goodreads.com/book/show/15722284-saint-odd, https://www.goodreads.com/author/show/9355.Dean_Koontz, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403303609i/15722284.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403303609i/15722284._SY75_.jpg," * Includes Dean Koontz’s short story “You Are Destined to Be Together Forever” *In a perilous journey across a landscape of beauty and terror, an unassuming but quite extraordinary young man has crossed paths with the living and the dead, the innocent and the evil. Now at last for Odd Thomas, the wandering is over. Drawn back to where it all began, to his beloved Pico Mundo, the dauntless fry cook seeks to fulfill the promise that has steered his quest since the devastating loss of his soul mate: ""You are destined to be together forever. ""But he hasn't come back to the small California town alone. A murderous, chaos-worshipping cult has a deadly score to settle with the unlikely hero and an apocalyptic fate to unleash upon the world. For Odd Thomas, born to serve a purpose far greater than himself, one last challenge - vast and dreadful - must be met before he can find whatever fate awaits him. "
49, Torment (Fallen #2), Lauren Kate,9.78039E+12, English,452," September 28, 2010"," Young Adult, Fantasy, Angels, Romance, Paranormal, Paranormal Romance, Supernatural", 3.85 avg rating - 229.173 ratings,483,5, https://www.goodreads.com/book/show/7740152-torment, https://www.goodreads.com/author/show/2905297.Lauren_Kate, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362339749i/7740152.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362339749i/7740152._SY75_.jpg," Hell on earth. That’s what it’s like for Luce to be apart from her fallen angel boyfriend, Daniel. It took them an eternity to find one another, but now he has told her he must go away. Just long enough to hunt down the Outcasts—immortals who want to kill Luce. Daniel hides Luce at Shoreline, a school on the rocky California coast with unusually gifted students: Nephilim, the offspring of fallen angels and humans. At Shoreline, Luce learns what the Shadows are, and how she can use them as windows to her previous lives. Yet the more Luce learns, the more she suspects that Daniel hasn’t told her everything. He’s hiding something—something dangerous. What if Daniel’s version of the past isn’t actually true? What if Luce is really meant to be with someone else?"
50, Our Souls at Night, Kent Haruf,9.7811E+12, English,179," May 26, 2015"," Fiction, Romance, Contemporary, Literary Fiction, Audiobook, Adult Fiction, Book Club", 3.92 avg rating - 71.559 ratings,478,5, https://www.goodreads.com/book/show/23602562-our-souls-at-night, https://www.goodreads.com/author/show/16266.Kent_Haruf, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418766517i/23602562.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418766517i/23602562._SX50_.jpg," A spare yet eloquent, bittersweet yet inspiring story of a man and a woman who, in advanced age, come together to wrestle with the events of their lives and their hopes for the imminent future. In the familiar setting of Holt, Colorado, home to all of Kent Haruf's inimitable fiction, Addie Moore pays an unexpected visit to a neighbor, Louis Waters. Her husband died years ago, as did his wife, and in such a small town they naturally have known of each other for decades in fact, Addie was quite fond of Louis's wife. His daughter lives hours away in Colorado Springs, her son even farther away in Grand Junction, and Addie and Louis have long been living alone in houses now empty of family, the nights so terribly lonely, especially with no one to talk with. Their brave adventures - their pleasures and their difficulties - are hugely involving and truly resonant, making Our Souls at Night the perfect final installment to this beloved writer's enduring contribution to American literature. "
51, Rain on the Dead (Sean Dillon #21), Jack Higgins,9.7804E+12, English,310," December 30, 2014"," Fiction, Thriller, Mystery, Espionage, Mystery Thriller, Action, Spy Thriller", 3.78 avg rating - 2.527 ratings,396,4, https://www.goodreads.com/book/show/20821202-rain-on-the-dead, https://www.goodreads.com/author/show/19706.Jack_Higgins, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1396830412i/20821202.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396830412i/20821202._SY75_.jpg," The past comes back to haunt Sean Dillon and his colleagues, as the New York Times–bestselling master of suspense returns with a knife-edge story of terrorism, revenge, and a very old nemesis. In the past few years, the killing and capture of many Al-Qaeda leaders has left the terrorist organization wounded—but by no means dead. And they intend to prove it. On a dark summer night, two Chechen mercenaries emerge from the waters off Nantucket to kill a high-value target, the former president of the United States, Jake Cazalet. Unfortunately for them, Cazalet has guests with him, including black ops specialist Sean Dillon and his colleague, Afghan war hero Captain Sara Gideon. The Chechens do not survive the night, but Dillon is curious as to how they even got on the island. What he discovers sends a chill through his bones—a name from very far back in Dillon’s past. If this man is working with the terrorists now, the assassination attempt is only the beginning—and the next time, the results might be much, much different. "
52, Full Force and Effect (Jack Ryan #10), Mark Greaney,9.7804E+12, English,674," December 2, 2014"," Fiction, Thriller, Action, Military Fiction, Adventure, Audiobook, Mystery", 4.26 avg rating - 10.893 ratings,394,4, https://www.goodreads.com/book/show/22825382-full-force-and-effect, https://www.goodreads.com/author/show/2961590.Mark_Greaney, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1412530776i/22825382.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412530776i/22825382._SY75_.jpg," A North Korean ICBM crashes into the Sea of Japan. A veteran CIA officer is murdered in Ho Chi Minh City, and a package of forged documents goes missing. The pieces are there, but assembling the puzzle will cost Jack Ryan, Jr. and his fellow Campus agents precious time. Time they don’t have.     The challenge facing President Jack Ryan is an old one with a terrifying new twist. The international stalemate with North Korea continues into its seventh decade.   A young, untested dictator is determined to prove his strength by breaking the deadlock. Like his father before him, he hangs his plans on the country’s nuclear ambitions. Until now, that program was impeded by a lack of resources. However, there has been a dramatic change in the nation’s economic fortune. A rich deposit of valuable minerals have been found in the Hermit Kingdom.  Coupled with their nuclear capabilities, the money from this find will make North Korea a dangerous force on the world stage.   There’s just one more step needed to complete this perfect plan…the elimination of the president of the United States. "
53, Burned (Fever #7), Karen Marie Moning,9.78039E+12, English,475," January 20, 2015"," Urban Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Fae, Adult", 4.17 avg rating - 36.686 ratings,392,4, https://www.goodreads.com/book/show/12444297-burned, https://www.goodreads.com/author/show/48206.Karen_Marie_Moning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407503200i/12444297.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407503200i/12444297._SY75_.jpg," It’s easy to walk away from lies. Power is another thing. MacKayla Lane would do anything to save the home she loves. A gifted sidhe-seer, she’s already fought and defeated the deadly Sinsar Dubh—an ancient book of terrible evil—yet its hold on her has never been stronger. When the wall that protected humans from the seductive, insatiable Fae was destroyed on Halloween, long-imprisoned immortals ravaged the planet. Now Dublin is a war zone with factions battling for control. As the city heats up and the ice left by the Hoar Frost King melts, tempers flare, passions run red-hot, and dangerous lines get crossed. Seelie and Unseelie vie for power against nine ancient immortals who have governed Dublin for millennia a rival band of sidhe-seers invades the city, determined to claim it for their own Mac’s former protégé and best friend, Dani “Mega” O’Malley, is now her fierce enemy and even more urgent, Highland druid Christian MacKeltar has been captured by the Crimson Hag and is being driven deeper into Unseelie madness with each passing day. The only one Mac can depend on is the powerful, dangerous immortal Jericho Barrons, but even their fiery bond is tested by betrayal. It’s a world where staying alive is a constant struggle, the line between good and evil gets blurred, and every alliance comes at a price. In an epic battle against dark forces, Mac must decide who she can trust, and what her survival is ultimately worth. "
54, Hope to Die (Alex Cross #22), James Patterson,9.78178E+12, English,374," November 24, 2014"," Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook", 4.20 avg rating - 27.733 ratings,389,4, https://www.goodreads.com/book/show/20800147-hope-to-die, https://www.goodreads.com/author/show/3780.James_Patterson, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1414130505i/20800147.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414130505i/20800147._SY75_.jpg," Detective Alex Cross is being stalked by a psychotic genius, forced to play the deadliest game of his career. Cross's family – his loving wife Bree, the wise and lively Nana Mama, and his precious children--have been ripped away. Terrified and desperate, Cross must give this mad man what he wants if he has any chance of saving the most important people in his life. The stakes have never been higher: What will Cross sacrifice to save the ones he loves?Widely praised by the greatest crime and thriller writers of our time, Cross My Heart set a jaw-dropping story in motion. Hope to Die propels Alex Cross's greatest challenge to its astonishing finish, proving why Jeffery Deaver says ""nobody does it better"" than James Patterson. "
55, Mightier Than the Sword (The Clifton Chronicles #5), Jeffrey Archer,9.78125E+12, English,400," February 24, 2015"," Fiction, Historical Fiction, Audiobook, Historical, Mystery, Thriller, Drama", 4.17 avg rating - 31.590 ratings,388,4, https://www.goodreads.com/book/show/21853645-mightier-than-the-sword, https://www.goodreads.com/author/show/4820.Jeffrey_Archer, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407772906i/21853645.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407772906i/21853645._SY75_.jpg," A bomb goes off, but how many passengers on the MV Buckingham have lost their lives? You will find out only if you read the opening chapter of Mightier than the Sword. When Harry arrives in New York, his publisher Harold Guinzberg tells him he has been elected as the next president of English PEN, which will give him the opportunity to launch a campaign for the release of a fellow author, Anatoly Babakov, who is languishing in a Russian Gulag in Siberia. His crime, writing a book Uncle Joe, which gives an insight into what it was like to work for Josef Stalin. So determined is he to see Babakov released, Harry puts his own life in danger. Emma Clifton, now Chairman of Barrington Shipping, is having to face the repercussions of the IRA bombing her ship.  Some board members feel she should resign while others, including Sebastian Clifton, newly elected to the board, are determined to see she remains as Chairman. Giles Barrington is now a Minister of the Crown, and looks set for high office, but a trip to East Germany does not end as a diplomatic success, and once again Giles' political career is thrown off balance by none other than Major Alex Fisher. Fisher decides to stand against Giles at the forthcoming general election. But this time who wins?Sebastian Clifton asks his girlfriend Samantha to marry him. She happily accepts, but then later changes her mind after she discovers what Seb has been up to behind her back. The book ends with two court trials: one at the high court in London, a libel case pitting Emma Clifton against Lady Virginia Fenwick while another, a show trial, takes place in Russia after Harry has been arrested as a spy. Thus continues book five of the Clifton Chronicles, Jeffrey Archer's most accomplished work to date, with all the trademark twists and turns that have made him one of the most successful authors in the world. "
56, Dreaming Spies (Mary Russell and Sherlock Holmes #13), Laurie R. King,9.78035E+12, English,331," February 17, 2015"," Mystery, Historical Fiction, Fiction, Historical, Historical Mystery, Japan, Audiobook", 4.08 avg rating - 9.174 ratings,383,4, https://www.goodreads.com/book/show/22318363-dreaming-spies, https://www.goodreads.com/author/show/6760.Laurie_R_King, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1401917932i/22318363.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401917932i/22318363._SX50_.jpg," NEW YORK TIMES BESTSELLER • WINNER OF THE AGATHA AWARD FOR BEST HISTORICAL NOVEL •  NAMED ONE OF THE TEN BEST MYSTERIES OF THE YEAR BY THE SEATTLE TIMESLaurie R. King’s novels of suspense featuring Mary Russell and her husband, Sherlock Holmes, are critically acclaimed and beloved by readers for the author’s adept interplay of history and adventure. Now the intrepid duo is finally trying to take a little time for themselves—only to be swept up in a baffling case that will lead them from the idyllic panoramas of Japan to the depths of Oxford’s most revered institution. After a lengthy case that had the couple traipsing all over India, Mary Russell and Sherlock Holmes are on their way to California to deal with some family business that Russell has been neglecting for far too long. Along the way, they plan to break up the long voyage with a sojourn in southern Japan. The cruising steamer Thomas Carlyle is leaving Bombay, bound for Kobe. Though they’re not the vacationing types, Russell is looking forward to a change of focus—not to mention a chance to travel to a location Holmes has not visited before. The idea of the pair being on equal footing is enticing to a woman who often must race to catch up with her older, highly skilled husband. Aboard the ship, intrigue stirs almost immediately. Holmes recognizes the famous clubman the Earl of Darley, whom he suspects of being an occasional not an unlikely career choice for a man richer in social connections than in pounds sterling. And then there’s the lithe, surprisingly fluent young Japanese woman who befriends Russell and quotes haiku. She agrees to tutor the couple in Japanese language and customs, but Russell can’t shake the feeling that Haruki Sato is not who she claims to be. Once in Japan, Russell’s suspicions are confirmed in a most surprising way. From the glorious city of Tokyo to the cavernous library at Oxford, Russell and Holmes race to solve a mystery involving international extortion, espionage, and the shocking secrets that, if revealed, could spark revolution—and topple an empire. Praise for Dreaming Spies“[Holmes and Russell’s] unusual partnership is, as always, a delight to observe, and King expertly combines rich historical detail, deftly drawn characters and taut suspense. For Holmes fans, mystery lovers and those interested in either Japan or Oxford, this novel is a multilayered and entirely enjoyable journey. ” — Shelf Awareness“Compulsively readable . . . Through astute, precise, and elegant writing, great attention to time and place, and beautifully realized characters, King has created a mystery series that is at once intelligent, reflective, and action filled. ” — Library Journal“A story that keeps the reader enthralled . . . one of the most consistently outstanding mystery series out there. Any time spent with the Russell-Holmes duo is a delight. ” — Booklist“Snappy prose and a captivating plot distinguish King’s fourteenth novel featuring Mary Russell and her husband, Sherlock Holmes. . . . Many will find the character deepened by his partnership with the spirited and clever Russell. ” — Publishers Weekly“The author continues to offer up incredible plotlines. . . . [Holmes and Russell’s] emotional bond only adds to the magic, suspense, and beauty of the original creation. King’s imagination continues to shine!” — Suspense Magazine“[King] manages more surprises than usual in this graceful exercise in cultural tourism–cum-intrigue. ” — Kirkus Reviews"
57, Pope Joan, Donna Woolfolk Cross, null, English,534," January 1, 1996"," Historical Fiction, Fiction, Historical, Religion, Book Club, Medieval, Italy", 4.08 avg rating - 69.869 ratings,383,4, https://www.goodreads.com/book/show/6587628-pope-joan, https://www.goodreads.com/author/show/44605.Donna_Woolfolk_Cross, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1583092537i/6587628.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583092537i/6587628._SY75_.jpg," For a thousand years men have denied her existence--Pope Joan, the woman who disguised herself as a man and rose to rule Christianity for two years. Now this compelling novel animates the legend with a portrait of an unforgettable woman who struggles against  restrictions her soul cannot accept. When her older brother dies in a Viking attack, the brilliant young Joan assumes his identity and enters a Benedictine monastery where, as  Brother John Anglicus, she distinguishes herself as a scholar and healer. Eventually drawn to Rome, she soon becomes enmeshed in a dangerous mix of powerful passion and explosive politics that threatens her life even as it elevates her to the highest throne in the Western world. "
58, Funny Girl, Nick Hornby,9.78159E+12, English,452," November 6, 2014"," Fiction, Historical Fiction, Humor, Audiobook, British Literature, Contemporary, Adult", 3.40 avg rating - 29.748 ratings,364,4, https://www.goodreads.com/book/show/22749994-funny-girl, https://www.goodreads.com/author/show/2929.Nick_Hornby, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415127744i/22749994.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415127744i/22749994._SY75_.jpg," Make them laugh, and they're yours forever . . . Barbara Parker is Miss Blackpool of 1964, but she doesn't want to be a beauty queen. She wants to make people laugh. So she leaves her hometown behind, takes herself to London, and overnight she becomes the lead in a new BBC comedy, Sophie Straw: charming, gorgeous, destined to win the nation's hearts. "
59, The Buried Giant, Kazuo Ishiguro,9.78031E+12, English,317," March 3, 2015"," Fantasy, Fiction, Historical Fiction, Literary Fiction, Magical Realism, Novels, Historical", 3.56 avg rating - 95.974 ratings,297,3, https://www.goodreads.com/book/show/22522805-the-buried-giant, https://www.goodreads.com/author/show/4280.Kazuo_Ishiguro, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451444392i/22522805.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451444392i/22522805._SX50_.jpg," ""You've long set your heart against it, Axl, I know. But it's time now to think on it anew. There's a journey we must go on, and no more delay. . . ""The Buried Giant begins as a couple set off across a troubled land of mist and rain in the hope of finding a son they have not seen in years. Sometimes savage, often intensely moving, Kazuo Ishiguro's first novel in nearly a decade is about lost memories, love, revenge, and war. Included on TIME Magazine's ""THE 100 BEST FANTASY BOOKS OF ALL TIME"""
60, Private Vegas (Private #9), James Patterson,9.78032E+12, English,361," January 26, 2015"," Mystery, Fiction, Thriller, Crime, Suspense, Mystery Thriller, Audiobook", 3.78 avg rating - 13.789 ratings,296,3, https://www.goodreads.com/book/show/21423303-private-vegas, https://www.goodreads.com/author/show/3780.James_Patterson, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394568740i/21423303.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394568740i/21423303._SY75_.jpg," What happens in Vegas. . . stays Private. Las Vegas is a city of contradictions: seedy and glamorous, secretive and wild, Vegas attracts people of all kinds--especially those with a secret to hide, or a life to leave behind. It's the perfect location for Lester Olsen's lucrative business. He gets to treat gorgeous, young women to five-star restaurants, splashy shows, and limo rides--and then he teaches them how to kill. Private Jack Morgan spends most of his time in Los Angeles, where his top investigation firm has its headquarters. But a hunt for two criminals leads him to the city of sin--and to a murder ring that is more seductively threatening than anything he's witnessed before. Private Vegas brings James Patterson's Private series to a sensational new level. "
61, Crash & Burn (Tessa Leoni #3), Lisa Gardner,9.78053E+12, English,389," February 3, 2015"," Mystery, Thriller, Fiction, Suspense, Crime, Mystery Thriller, Audiobook", 4.03 avg rating - 21.375 ratings,295,3, https://www.goodreads.com/book/show/22571612-crash-burn, https://www.goodreads.com/author/show/18282.Lisa_Gardner, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403630851i/22571612.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403630851i/22571612._SY75_.jpg," My name is Nicky Frank. Except, most likely, it isn’t.  Nicole Frank shouldn’t have been able to survive the car accident, much less crawl up the steep ravine. Not in the dark, not in the rain, not with her injuries. But one thought allows her to defy the odds and flag down help: Vero.  I’m looking for a little girl. I have to save her. Except, most likely, she doesn’t exist.  Sergeant Wyatt Foster is frustrated when even the search dogs can’t find any trace of the mysterious missing child. Until Nicky’s husband, Thomas, arrives with a host of shattering revelations: Nicole Frank suffers from a rare brain injury and the police shouldn’t trust anything she says.  My husband claims he’ll do anything to save me. Except, most likely, he can’t.  Who is Nicky Frank, and what happened the night her car sailed off the road? Was it a random accident or something more sinister given the woman’s lack of family and no close friends? The deeper Wyatt digs, the more concerned he becomes. Because it turns out, in the past few months, Nicky has suffered from more than one close accident. . . . In fact, it would appear someone very much wants her dead.  This is my life. Except, most likely, it’s not. Now watch me crash and burn. "
62, Four: A Divergent Story Collection (Divergent #0.1-0.4), Veronica Roth,9.78006E+12, English,285," July 8, 2014"," Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Short Stories", 3.97 avg rating - 210.211 ratings,293,3, https://www.goodreads.com/book/show/18126198-four, https://www.goodreads.com/author/show/4039811.Veronica_Roth, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1393687572i/18126198.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393687572i/18126198._SY75_.jpg," Celebrate the 10th anniversary of Divergent with a special edition of Four, a collection in the #1 New York Times bestselling series that captured the hearts of millions of readers and inspired a series of major motion pictures starring Shailene Woodley. This edition features exclusive content from Veronica Roth and beautiful reimagined cover art from award-winning illustrator Victo Ngai. Readers first encountered Tobias as ""Four"" in Divergent and will find more of this charismatic character's backstory told from his own perspective in Four: A Divergent Collection. When read together, these long narrative pieces illuminate the defining moments in Tobias's life, from his transfer from Abnegation to Dauntless, his initiation, and the decisions of loyalty—and love—that Tobias makes in the weeks after he meets Tris Prior. “The same mix of tension, uncertainty, and hope that made the original stories irresistible. A welcome trip down memory lane. ” —Publishers Weekly“Fans of Divergent who can’t get enough—and maybe even the rare reader who missed the first rush—will snap up this story collection told. It will fly off the shelves and for good reason. ” —ALA Booklist"
